#https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections8TeVcharginoneutralinoCMS
#mass,xsec[pb],unc.[pb]
100,1.11E+01,7.81E-01
105,9.20E+00,6.26E-01
110,7.71E+00,5.06E-01
115,6.52E+00,4.18E-01
120,5.55E+00,3.50E-01
125,4.76E+00,2.84E-01
130,4.12E+00,2.55E-01
135,3.55E+00,2.04E-01
140,3.10E+00,1.72E-01
145,2.71E+00,1.54E-01
150,2.39E+00,1.26E-01
155,2.11E+00,1.18E-01
160,1.86E+00,9.32E-02
165,1.66E+00,8.71E-02
170,1.48E+00,7.51E-02
175,1.32E+00,6.72E-02
180,1.18E+00,5.87E-02
185,1.06E+00,5.25E-02
190,9.60E-01,4.61E-02
195,8.69E-01,4.07E-02
200,7.85E-01,3.73E-02
205,7.12E-01,3.26E-02
210,6.47E-01,3.00E-02
215,5.88E-01,2.73E-02
220,5.36E-01,2.37E-02

