evt, m, deta, e_ratio
0,1.61509,3.59981,0.0501304
1,1.55148,2.17696,0.0912192
2,2.12175,1.92321,0.308335
3,1.69704,0.724231,0.459319
4,1.57234,3.8459,0.294802
5,1.77706,2.02787,0.26389
6,1.53468,2.81719,0.36073
7,7.99847,1.80771,0.225406
8,1.65334,3.189,0.0777433
9,1.71431,0.12009,0.932084
10,1.41844,1.06834,0.522254
11,1.58731,2.70151,0.723244
12,1.4935,0.93714,0.432326
13,1.46996,1.65862,0.0892121
14,1.8329,1.03844,0.343501
15,1.42086,1.90807,0.115663
16,1.50374,1.61605,0.30665
17,2.16579,2.92727,0.647946
18,1.61475,2.61034,0.0848554
19,2.01184,2.40842,0.526961
20,2.16102,1.12558,0.815397
21,1.55361,4.86108,0.395556
22,1.48979,1.92359,0.328366
23,1.78156,4.92197,0.0725916
24,1.43183,1.30977,0.393425
25,1.54504,4.11827,0.0318773
26,1.74178,3.08906,0.852218
27,1.76227,2.07108,0.379406
28,1.51382,3.03499,0.0965283
29,1.4221,5.19348,0.107603
30,1.51638,2.17622,0.603503
31,1.72868,2.14639,0.16781
32,1.69805,0.584749,0.827213
33,1.43567,0.351788,0.839399
34,2.46016,2.34728,0.0500399
35,1.50823,0.142743,0.875879
36,2.85591,4.22795,0.2546
37,1.54646,1.324,0.885242
38,1.45779,0.479728,0.557875
39,1.49877,4.44439,0.156751
40,1.59637,2.61643,0.287509
41,1.43973,5.47334,0.17971
42,1.73162,1.44632,0.594148
43,1.53384,4.55065,0.0410413
44,1.68612,4.94283,0.010273
45,1.6896,3.72124,0.0357624
46,1.56781,2.15388,0.253046
47,1.62557,2.00775,0.128614
48,1.5197,1.19547,0.495033
49,1.5052,3.64475,0.16356
50,1.61687,2.05588,0.659382
51,1.60618,1.31022,0.0901733
52,1.84623,2.1421,0.0557865
53,1.47484,2.99315,0.301464
54,1.84196,3.61329,0.234502
55,1.72189,2.26662,0.207496
56,1.67287,1.73234,0.594451
57,1.56208,0.348537,0.526532
58,2.62922,2.83115,0.189128
59,2.11864,1.49204,0.235394
60,1.48549,0.920814,0.523496
61,2.13814,2.9638,0.0516636
62,1.47768,2.09721,0.326962
63,1.64726,3.09503,0.195484
64,1.42041,4.73084,0.220896
65,1.50441,3.37599,0.432955
66,1.96346,1.70508,0.59186
67,1.51994,0.757623,0.522768
68,3.6093,7.43773,0.0294785
69,1.45379,4.25902,0.471613
70,1.90368,0.451627,0.604189
71,1.44565,2.71209,0.0506436
72,1.59333,2.40308,0.355693
73,1.49174,1.3239,0.267448
74,1.43399,2.99728,0.109067
75,1.79071,0.313095,0.787363
76,1.64303,2.1196,0.0988951
77,2.28536,1.31241,0.826841
78,1.78642,2.5666,0.89867
79,2.01148,2.70742,0.231014
80,1.59338,3.18909,0.0727218
81,3.48895,5.02769,0.283894
82,1.93273,1.22354,0.728597
83,2.38745,0.667991,0.679576
84,3.12939,0.495746,0.926798
85,1.88603,0.876676,0.409567
86,1.60316,3.09439,0.241607
87,3.63046,0.980488,0.387678
88,1.94583,0.435831,0.788684
89,1.52591,4.00754,0.148295
90,2.31892,5.27894,0.783786
91,1.42266,5.23557,0.0100944
92,1.78372,4.23864,0.139413
93,1.42302,4.09228,0.0202625
94,1.75323,4.45322,0.564226
95,1.94611,2.75552,0.0777538
96,1.46183,2.94028,0.0656495
97,1.45655,4.16836,0.967246
98,1.54804,0.0586812,0.616614
99,1.53039,3.06866,0.0367498
100,1.5492,1.68911,0.237412
101,1.6714,1.61994,0.177472
102,1.91805,2.73607,0.913768
103,2.08384,1.64558,0.168165
104,1.54821,6.49124,0.0090063
105,1.52385,1.06186,0.748501
106,1.50726,2.50728,0.314246
107,2.21381,0.584504,0.817313
108,1.59839,1.2018,0.233393
109,1.46493,1.54584,0.157047
110,2.56985,4.00162,0.0377434
111,1.51083,5.92704,0.499417
112,1.47396,3.30737,0.254439
113,1.58849,0.75066,0.509803
114,1.53518,5.40342,0.779802
115,2.36855,0.993633,0.431185
116,2.61114,4.24537,0.401883
117,1.58813,3.22048,0.199229
118,2.01046,2.06358,0.207288
119,1.47009,1.85584,0.393865
120,1.49036,4.36137,0.73287
121,1.49343,3.85184,0.321843
122,1.45874,0.234138,0.819044
123,1.55807,2.15728,0.0792618
124,1.59594,2.41507,0.283594
