evt, m, deta, e_ratio
0,3.95689,0.339192,0.627047
1,3.57896,6.33517,0.825059
2,6.54272,4.56063,0.516587
3,4.87831,1.33556,0.28197
4,3.79121,4.0397,0.139055
5,8.38749,6.55961,0.639563
6,4.5088,0.848375,0.357426
7,3.82215,3.81361,0.492626
8,3.86203,0.470137,0.820802
9,5.64746,3.06864,0.483208
10,3.74006,3.16646,0.0682459
11,6.8693,1.78892,0.182446
12,5.17689,1.96347,0.23341
13,3.71457,2.52498,0.184962
14,3.9172,0.757124,0.902771
15,5.6089,6.77794,0.0969946
16,4.56004,1.11167,0.257016
17,3.66517,0.981044,0.283369
18,5.00808,0.926157,0.98086
19,3.91214,0.441907,0.782059
20,4.30888,0.903014,0.566646
21,3.61164,0.863489,0.901396
22,4.88333,1.14308,0.366489
23,3.70625,0.0129071,0.773884
24,3.94566,3.43928,0.0335384
25,4.50637,0.353488,0.810788
26,4.44504,6.2295,0.273693
27,3.64135,2.70808,0.30161
28,5.0216,4.76247,0.105949
29,3.60625,4.5803,0.0877638
30,4.19407,5.37944,0.0475932
31,3.91084,3.0521,0.110617
32,11.9319,8.76701,0.106555
33,3.79739,0.37177,0.75666
34,4.70039,2.91214,0.0548494
35,4.93038,0.387467,0.676741
36,3.75001,1.82419,0.179478
37,7.52119,1.31012,0.354252
38,3.97619,3.91669,0.29956
39,4.23312,4.14527,0.0569273
40,4.29257,7.11925,0.623497
41,7.37416,1.70845,0.151406
42,3.66473,3.70165,0.265591
43,3.69794,1.55355,0.136471
44,3.61015,3.85991,0.378234
45,4.24434,0.474855,0.670186
46,4.09473,1.21062,0.29443
47,4.00701,3.15002,0.0807772
48,5.0414,3.8196,0.0408862
49,3.8549,4.38926,0.592929
50,4.96134,1.88703,0.200231
51,3.96934,0.387409,0.690536
52,3.69386,6.42411,0.837073
53,4.29177,4.79703,0.0383232
54,3.54725,0.150613,0.782683
55,3.61434,3.05561,0.0422382
56,7.24411,4.879,0.0131719
57,4.23027,3.96864,0.021603
58,5.72996,8.42031,0.0483312
59,4.91485,0.0464265,0.860422
60,3.86115,1.46763,0.25035
61,4.54525,2.69401,0.0809128
62,3.88616,1.99086,0.455663
63,3.9434,1.46165,0.803192
64,5.57615,0.0692416,0.876792
65,4.49048,5.4805,0.396587
66,3.62811,5.22719,0.0650539
67,5.06267,4.87453,0.0232611
68,3.57336,4.41395,0.020219
69,4.67593,1.76618,0.147974
70,4.0407,1.2798,0.645451
71,5.70839,1.9794,0.361624
72,3.6995,1.71148,0.190561
73,3.90518,0.0567254,0.797076
74,8.40054,7.08625,0.0531225
75,7.01874,2.65424,0.205801
76,3.82333,4.30319,0.0375393
77,4.3305,4.58886,0.100242
78,3.94252,5.45907,0.446227
79,3.91227,1.098,0.332093
80,4.55103,1.94609,0.156171
81,4.83945,1.77292,0.242055
82,3.95925,4.5481,0.028594
83,4.54845,2.7305,0.127118
84,4.17315,6.47308,0.017034
85,4.07582,5.95428,0.397688
86,3.70575,3.6997,0.0943513
87,3.86486,2.1401,0.147205
88,4.45871,4.27976,0.436018
89,4.75201,2.29105,0.0944827
90,3.84131,3.04595,0.178054
91,3.77417,0.466893,0.950655
92,5.52804,5.29701,0.941286
93,3.88766,0.856016,0.747181
94,3.90005,1.10681,0.582944
95,3.7033,0.246997,0.873464
96,3.97648,3.35488,0.0816556
97,3.58129,7.53233,0.0666684
98,4.73187,4.71192,0.409635
99,3.83503,4.3041,0.01616
100,3.74176,2.68848,0.417013
101,4.32545,0.913789,0.556597
102,3.77223,4.72969,0.188679
103,7.75712,1.74914,0.269152
104,3.68859,0.380978,0.853856
105,4.37951,3.51118,0.502477
106,3.63857,1.83278,0.430786
107,3.69184,5.25264,0.0653062
108,4.09949,6.60362,0.847902
109,3.85983,3.846,0.0211674
110,3.58962,6.16385,0.132625
111,4.62739,4.77571,0.394012
112,5.40654,3.79622,0.293104
113,4.17788,3.55176,0.760564
114,3.78938,0.629128,0.489203
115,3.76533,1.15842,0.410245
116,3.55352,2.71138,0.326006
117,4.59833,0.222157,0.798436
118,5.16837,0.531642,0.827719
119,4.18607,3.37425,0.32027
120,3.9701,0.310215,0.997518
121,3.86833,0.85533,0.390936
122,5.91815,1.85,0.140471
123,4.79857,2.11047,0.18086
124,4.03628,5.23391,0.0568809
125,5.82792,6.20581,0.574333
126,5.15563,3.07042,0.405966
127,5.58222,0.44597,0.820564
128,7.10362,2.3068,0.212787
129,3.63617,4.45298,0.0309882
130,3.60331,1.88641,0.989483
131,4.698,4.60789,0.0588623
132,3.87428,2.85591,0.471205
133,3.89679,2.30616,0.381019
134,4.63639,1.22776,0.337311
135,3.65167,4.26981,0.267916
136,4.4883,6.38674,0.0261963
137,3.83789,2.49807,0.0845172
138,3.70251,3.37288,0.0588429
139,5.85677,1.20172,0.509785
140,5.05596,0.488443,0.963422
141,3.85459,0.829923,0.410052
142,3.72195,2.72618,0.163919
143,3.65428,0.711764,0.493125
144,3.74667,4.89324,0.0240096
145,5.10562,3.89623,0.496678
146,4.06544,0.994709,0.547597
147,3.75897,2.49825,0.683532
148,3.60306,5.19747,0.408098
149,4.53759,5.86058,0.296118
150,3.87943,1.24392,0.269595
151,3.74153,2.60392,0.349815
152,4.23656,3.21526,0.0515116
153,4.16171,1.40994,0.406497
154,3.76275,0.264772,0.840121
155,4.25517,0.434337,0.635562
156,3.55884,0.682793,0.64645
157,6.00993,2.72689,0.798134
158,3.65792,2.35873,0.349877
159,3.97016,6.54901,0.697251
160,3.78309,1.48335,0.473218
161,3.76568,2.70057,0.278932
162,3.97194,1.3666,0.363507
163,3.76603,4.22692,0.0562396
164,4.22804,1.80902,0.218546
165,6.7637,4.07815,0.0414724
166,4.22027,2.81847,0.0534874
167,4.22347,0.922344,0.748788
168,3.665,0.961237,0.382069
169,4.31566,3.74603,0.022571
170,4.55221,0.697005,0.914051
171,3.78177,0.630188,0.632744
172,3.80342,3.01778,0.0741107
173,6.30726,5.33184,0.428451
174,3.56145,0.0376728,0.922603
175,3.72201,0.451217,0.858583
176,3.5667,1.16761,0.602969
177,3.92263,1.54001,0.936346
178,7.91827,1.87046,0.164499
179,7.40572,6.14313,0.0644551
180,3.79605,1.43694,0.349943
181,4.98589,6.04983,0.797789
182,3.59901,5.46709,0.241732
183,4.12626,4.34077,0.257604
184,4.39562,1.9787,0.403276
185,6.2548,4.71807,0.72781
186,3.87703,4.66609,0.0409346
187,3.7693,6.56148,0.101454
188,5.61755,4.37533,0.0399857
189,5.4995,2.55814,0.0911127
190,4.08532,2.74856,0.0878958
191,3.89592,4.0673,0.434131
192,3.70829,0.318151,0.82773
193,3.82926,2.47081,0.246909
194,4.5676,1.01084,0.320723
195,3.64017,3.15976,0.596284
196,4.1904,0.716953,0.575548
197,3.73383,1.17652,0.371324
198,12.3221,3.559,0.0772906
199,3.55932,0.729241,0.511818
200,3.5781,1.56643,0.310426
201,3.71684,5.4101,0.158534
202,5.91004,1.09497,0.383709
203,3.64777,0.407229,0.722356
204,5.03006,3.26985,0.310522
205,3.86812,5.5869,0.102455
206,3.97758,1.14291,0.398583
207,4.99907,2.02722,0.125547
208,4.32571,2.58436,0.309002
209,3.7675,2.37067,0.0958182
