evt, m, deta, e_ratio
0,16.1808,5.14341,0.804899
1,21.3526,1.97372,0.864125
2,19.9613,7.33702,0.127064
3,23.4435,4.60044,0.04019
4,17.4422,6.58113,0.654773
5,16.6799,5.78913,0.10062
6,14.2124,1.38905,0.858736
7,18.7871,9.62021,0.371621
8,15.6629,1.37957,0.270271
9,15.9528,4.15676,0.075199
10,14.5013,5.36345,0.24548
11,15.5959,1.39989,0.566096
12,16.7328,2.51147,0.0948791
13,14.1807,6.10412,0.0209906
14,16.7806,5.1831,0.0162121
15,14.2846,0.429442,0.879351
16,17.8648,1.19655,0.348089
17,14.8733,1.5724,0.4328
18,15.2911,1.32597,0.328514
19,14.809,2.76104,0.0703088
20,15.2734,0.435958,0.702455
21,18.5386,9.62573,0.0540856
22,14.7274,0.374828,0.768021
23,15.0785,1.87114,0.374433
24,14.3394,0.896106,0.659699
25,14.8642,3.77029,0.0981094
26,14.8386,3.10865,0.776681
27,15.9612,0.524048,0.563945
28,25.5198,0.542442,0.708063
29,21.2102,1.27839,0.300163
30,21.5964,1.05246,0.461835
31,16.1448,0.631027,0.527739
32,15.7815,2.70863,0.739603
33,25.8844,5.97979,0.0153117
34,19.8391,4.5346,0.315473
35,17.3417,3.17351,0.101823
36,16.5564,3.56013,0.180888
37,14.2992,2.83508,0.136254
38,15.6677,0.902046,0.599492
39,16.2492,1.49326,0.635849
40,16.7009,1.13527,0.65643
41,15.8861,1.07105,0.415069
42,24.885,2.3206,0.606117
43,16.1718,8.43259,0.460721
44,16.9846,1.8557,0.151917
45,14.2055,4.62826,0.0473148
46,15.4208,2.46351,0.177343
47,16.74,1.32999,0.297832
48,16.9828,6.9937,0.0198076
49,21.1605,1.86457,0.951831
50,17.6237,4.4725,0.0212835
51,15.0989,1.80372,0.192505
52,28.0536,9.55917,0.500214
53,17.2849,1.21997,0.422269
54,14.953,0.291919,0.836545
55,16.055,4.90658,0.0898103
56,22.6107,9.91125,0.013822
57,14.3826,3.09866,0.390647
58,15.1394,0.969212,0.457105
59,15.4459,1.24217,0.370096
60,16.2618,2.58879,0.617083
61,15.3988,5.32854,0.107795
62,15.1985,8.69656,0.160695
63,15.8789,1.50691,0.360138
64,14.518,7.42334,0.0175149
65,14.5685,5.99846,0.397499
66,14.7279,2.41354,0.170878
67,15.8405,0.0827201,0.981649
68,16.4327,0.431872,0.717866
69,16.083,1.24067,0.589293
70,16.8078,3.36685,0.0589559
71,25.03,2.8086,0.233013
72,15.4526,2.29627,0.143416
73,14.9978,0.4109,0.844277
74,14.8498,4.09412,0.42767
75,17.9081,2.56694,0.125992
76,20.7753,6.89668,0.463409
77,28.3404,0.602459,0.56765
78,17.0586,0.357312,0.704824
79,15.0675,6.46978,0.353527
80,20.5038,6.98574,0.432758
81,14.3333,0.712995,0.808211
82,15.5428,0.544544,0.735185
83,17.7026,7.5701,0.0530568
84,14.8891,2.63655,0.277642
85,16.1113,1.91148,0.178964
86,17.7782,0.0293545,0.964651
87,15.6234,1.46047,0.511222
88,14.5403,5.33601,0.219347
89,14.4221,0.695034,0.94304
90,17.6682,3.99931,0.171226
91,14.8424,3.13269,0.855442
92,30.3985,4.59699,0.0356545
93,16.6564,2.15672,0.38416
94,21.7717,5.30504,0.754025
95,20.8168,3.8121,0.125887
96,18.1085,2.1022,0.171797
97,14.148,2.21473,0.123987
98,14.9083,0.482432,0.792192
99,16.4658,1.48506,0.283338
100,17.2498,2.42137,0.281836
101,23.727,2.78738,0.265489
102,15.0025,2.05596,0.497708
103,19.4448,4.82992,0.0154031
104,15.3479,2.09546,0.293563
105,17.0147,1.21709,0.361348
106,14.4832,4.7884,0.521084
107,18.6575,2.85958,0.0653862
108,14.6265,7.18546,0.0174202
109,16.1548,2.0654,0.185912
110,14.7879,5.88886,0.0309126
111,14.7984,3.28781,0.0743754
112,18.3598,2.27137,0.122965
113,14.9054,0.458704,0.958325
114,23.5399,2.69683,0.140249
115,19.212,1.01363,0.908237
116,15.3815,3.02704,0.0686235
117,15.151,1.36089,0.503819
118,17.0223,5.35501,0.0310834
119,15.3238,2.38969,0.128761
120,16.2625,4.27905,0.283862
121,14.8345,1.47869,0.302048
122,15.853,6.70971,0.024512
123,16.1872,2.72674,0.555617
124,14.7138,5.73871,0.134575
125,14.3137,5.80843,0.614197
126,26.228,7.29032,0.413728
127,16.1065,3.27162,0.06296
128,15.2072,2.90279,0.176059
129,18.2719,4.78217,0.247661
130,17.0955,1.64703,0.288753
131,17.7491,1.13258,0.530075
132,14.6583,1.48008,0.236977
133,15.3461,2.24065,0.766739
134,14.7363,3.486,0.0878203
